,reconstruction_error
0,0.17074263382271615
1,0.16632553768124902
2,0.1525803684650849
3,0.14681152992098379
4,0.13612544939930613
5,0.13132569211654388
6,0.12383904189874695
7,0.12330586191521517
8,0.11835668873773963
9,0.11781884757509462
10,0.11217475880750971
11,0.11151805620137678
12,0.1090062554039541
13,0.10577192263585576
14,0.10515780063593909
15,0.1031399380684265
16,0.10228034226855785
17,0.1018451862644152
18,0.10154669552614884
19,0.10062531655527049
20,0.10038986009122211
21,0.10034358979936582
22,0.09659791859050532
23,0.0956229908717764
24,0.09547107723944259
